scheduleid,routeid,scheduleday,scheduletime,
1,1,0,345,
2,1,0,375,
3,1,0,405,
4,1,0,427,
5,1,0,442,
6,1,0,457,
7,1,0,472,
8,1,0,487,
9,1,0,502,
10,1,0,517,
11,1,0,532,
12,1,0,547,
13,1,0,562,
14,1,0,577,
15,1,0,592,
16,1,0,615,
17,1,0,645,
18,1,0,675,
19,1,0,705,
20,1,0,735,
21,1,0,765,
22,1,0,795,
23,1,0,825,
24,1,0,855,
25,1,0,885,
26,1,0,907,
27,1,0,922,
28,1,0,937,
29,1,0,952,
30,1,0,967,
31,1,0,982,
32,1,0,997,
33,1,0,1012,
34,1,0,1027,
35,1,0,1042,
36,1,0,1057,
37,1,0,1072,
38,1,0,1095,
39,1,0,1125,
40,1,0,1155,
41,1,0,1185,
42,1,0,1215,
43,1,0,1245,
44,1,0,1275,
45,1,0,1305,
46,1,0,1335,
47,1,0,1365,
48,1,0,1395,
49,1,0,1425,
50,2,0,348,
51,2,0,378,
52,2,0,408,
53,2,0,431,
54,2,0,446,
55,2,0,461,
56,2,0,476,
57,2,0,491,
58,2,0,506,
59,2,0,521,
60,2,0,536,
61,2,0,551,
62,2,0,566,
63,2,0,581,
64,2,0,596,
65,2,0,619,
66,2,0,649,
67,2,0,679,
68,2,0,709,
69,2,0,739,
70,2,0,769,
71,2,0,799,
72,2,0,829,
73,2,0,859,
74,2,0,889,
75,2,0,911,
76,2,0,926,
77,2,0,941,
78,2,0,956,
79,2,0,972,
80,2,0,987,
81,2,0,1002,
82,2,0,1017,
83,2,0,1032,
84,2,0,1047,
85,2,0,1062,
86,2,0,1077,
87,2,0,1100,
88,2,0,1130,
89,2,0,1159,
90,2,0,1189,
91,2,0,1219,
92,2,0,1249,
93,2,0,1279,
94,2,0,1309,
95,2,0,1339,
96,2,0,1369,
97,2,0,1398,
98,2,0,1428,
99,3,0,357,
100,3,0,387,
101,3,0,417,
102,3,0,443,
103,3,0,458,
104,3,0,473,
105,3,0,488,
106,3,0,503,
107,3,0,518,
108,3,0,533,
109,3,0,548,
110,3,0,561,
111,3,0,576,
112,3,0,591,
113,3,0,606,
114,3,0,629,
115,3,0,659,
